time,heading,speedDelta
14639,75.805128,-100
14659,74.151924,-100
14679,72.235610,-100
14699,70.289216,-100
14719,68.237847,-100
14739,66.161800,-100
14759,64.062789,-100
14779,62.011847,-100
14799,59.966739,-100
14819,57.951546,-100
14839,55.929999,-100
14859,53.953851,-100
14879,51.971311,-100
14899,50.022319,-100
14919,48.012939,-100
14939,46.013288,-100
14959,43.979900,-100
14979,41.978296,-100
14999,39.952260,-100
15019,37.936493,-100
15039,35.908219,-100
15059,33.913729,-100
15079,31.885584,-100
15099,29.877440,-100
15119,27.835035,-100
15139,25.834651,-100
15159,23.853432,-100
15179,21.861722,-100
15199,19.841611,-100
15219,17.836185,-100
15239,15.850403,-100
15259,13.886560,-100
15279,11.955938,-100
15299,10.008556,-100
15319,8.038292,-100
15339,6.003224,-100
15359,3.993222,-100
15379,1.984272,-100
15399,0.000389,-100
15419,-1.988493,-100
15439,-3.969180,-100
15459,-5.952407,-100
15479,-7.939952,-100
15499,-9.949516,-100
15519,-11.949451,-100
15539,-13.954780,-100
15559,-15.979617,-100
15579,-18.002815,-100
15599,-20.036421,-100
15619,-22.025236,-100
15639,-24.031508,-100
15659,-26.049023,-100
15679,-28.053944,-100
15699,-30.057238,-100
15719,-32.059385,-100
15739,-34.094481,-100
15759,-36.120165,-100
15779,-38.156885,100
15799,-40.179427,100
15819,-42.188858,100
15839,-44.171617,100
15859,-46.119191,100
15879,-48.030745,100
15899,-49.897027,100
15919,-51.719004,100
15939,-53.442547,100
15959,-55.029502,100
15979,-56.417095,100
15999,-57.591903,100
16019,-58.546176,100
16039,-59.315966,100
16059,-59.881916,100
16079,-60.262561,100
16099,-60.437739,100
16119,-60.439585,100
16139,-60.477834,100
16159,-60.492726,100
16179,-60.433397,100
16199,-60.363854,100
16219,-60.306658,100
16239,-60.197496,100
16259,-59.721829,100
16279,-58.882642,100
16299,-57.748163,100
16319,-56.266421,100
16339,-54.432312,100
16359,-52.485529,100
16379,-50.610262,100
16399,-48.684447,100
16419,-46.679351,100
16439,-44.655211,100
16459,-42.612439,100
16479,-40.615591,100
16499,-38.570755,100
16519,-36.571354,100
16539,-34.556311,100
16559,-32.580296,100
16579,-30.587219,100
16599,-28.636804,100
16619,-26.691048,100
16639,-24.756574,100
16659,-22.807319,100
16679,-20.892586,100
16699,-18.958481,100
16719,-17.034171,100
16739,-15.073606,100
16759,-13.114161,100
16779,-11.140005,100
16799,-9.191939,100
16819,-7.214134,100
16839,-5.283595,100
16859,-3.301857,100
16879,-1.347480,100
16899,0.636826,100
16919,2.591668,100
16939,4.561999,100
16959,6.510434,100
